DriverNumber,Abbreviation,TeamName,GridPosition,Position,Status,Points,Year,RaceNumber,EventName,CircuitName,QualiPosition,BestQualiTime,AvgFinishLast5,AvgQualiLast5,PointsLast3,ConstructorAvgFinishLast3,Podium,ConstructorPodiumRateSeason,DriverCircuitAvgFinish,DriverCircuitBestFinish,DNF,DNFRateSeason,PodiumRateSeason,CumConstructorPoints,ConstructorChampPos,PoleTime,QualiGapToPole
22,TSU,AlphaTauri,16.0,8.0,Finished,4.0,2022,1,Bahrain Grand Prix,Sakhir,16.0,92.75,11.0,11.0,0.0,20.0,0,0.0,,20.0,0,0.0,0.0,0.0,6.0,90.558,2.191999999999993
1,VER,Red Bull Racing,2.0,19.0,Fuel pressure,0.0,2022,1,Bahrain Grand Prix,Sakhir,2.0,90.681,11.0,11.0,0.0,18.0,0,0.0,,20.0,1,0.0,0.0,0.0,6.0,90.558,0.12299999999999045
24,ZHO,Alfa Romeo,15.0,10.0,Finished,1.0,2022,1,Bahrain Grand Prix,Sakhir,15.0,93.543,11.0,11.0,0.0,6.0,0,0.0,,20.0,0,0.0,0.0,8.0,4.0,90.558,2.9849999999999994
23,ALB,Williams,16.0,14.0,Collision damage,0.0,2022,2,Saudi Arabian Grand Prix,Jeddah,17.0,90.492,13.0,14.0,0.0,14.5,0,0.0,13.0,20.0,1,0.0,0.0,0.0,15.0,88.2,2.2920000000000016
14,ALO,Alpine,7.0,16.0,Water pump,0.0,2022,2,Saudi Arabian Grand Prix,Jeddah,7.0,89.147,9.0,8.0,2.0,8.0,0,0.0,9.0,20.0,1,0.0,0.0,8.0,10.0,88.2,0.9470000000000027
77,BOT,Alfa Romeo,8.0,15.0,Cooling system,0.0,2022,2,Saudi Arabian Grand Prix,Jeddah,8.0,89.183,6.0,6.0,8.0,8.0,0,0.0,6.0,20.0,1,0.0,0.0,9.0,8.0,88.2,0.9830000000000041
10,GAS,AlphaTauri,9.0,8.0,Finished,4.0,2022,2,Saudi Arabian Grand Prix,Jeddah,9.0,89.254,20.0,10.0,0.0,14.0,0,0.0,20.0,20.0,0,1.0,0.0,4.0,14.0,88.2,1.054000000000002
44,HAM,Mercedes,15.0,10.0,Finished,1.0,2022,2,Saudi Arabian Grand Prix,Jeddah,16.0,90.343,3.0,5.0,15.0,3.5,0,0.5,3.0,20.0,0,0.0,1.0,27.0,4.0,88.2,2.1430000000000007
27,HUL,Aston Martin,17.0,12.0,Finished,0.0,2022,2,Saudi Arabian Grand Prix,Jeddah,18.0,90.543,17.0,17.0,0.0,14.5,0,0.0,17.0,20.0,0,0.0,0.0,0.0,15.0,88.2,2.3430000000000035
6,LAT,Williams,18.0,18.0,Accident,0.0,2022,2,Saudi Arabian Grand Prix,Jeddah,19.0,91.817,16.0,20.0,0.0,14.333333333333334,0,0.0,16.0,20.0,1,0.0,0.0,0.0,15.0,88.2,3.6169999999999902
16,LEC,Ferrari,2.0,2.0,Finished,19.0,2022,2,Saudi Arabian Grand Prix,Jeddah,2.0,88.225,1.0,1.0,26.0,1.5,1,1.0,1.0,20.0,0,0.0,1.0,44.0,2.0,88.2,0.024999999999991473
20,MAG,Haas F1 Team,10.0,9.0,Finished,2.0,2022,2,Saudi Arabian Grand Prix,Jeddah,10.0,89.588,5.0,7.0,10.0,8.0,0,0.0,5.0,20.0,0,0.0,0.0,10.0,7.0,88.2,1.387999999999991
47,MSC,Haas F1 Team,,,Withdrew,0.0,2022,2,Saudi Arabian Grand Prix,Jeddah,14.0,89.92,11.0,12.0,0.0,8.333333333333334,0,0.0,11.0,20.0,1,0.0,0.0,12.0,5.0,88.2,1.7199999999999989
4,NOR,McLaren,11.0,7.0,Finished,6.0,2022,2,Saudi Arabian Grand Prix,Jeddah,11.0,89.651,15.0,13.0,0.0,14.5,0,0.0,15.0,20.0,0,0.0,0.0,0.0,15.0,88.2,1.4509999999999934
31,OCO,Alpine,5.0,6.0,Finished,8.0,2022,2,Saudi Arabian Grand Prix,Jeddah,5.0,89.068,7.0,11.0,6.0,10.666666666666666,0,0.0,7.0,20.0,0,0.0,0.0,8.0,10.0,88.2,0.867999999999995
11,PER,Red Bull Racing,1.0,4.0,Finished,12.0,2022,2,Saudi Arabian Grand Prix,Jeddah,1.0,88.2,18.0,4.0,0.0,18.5,0,0.0,18.0,20.0,0,1.0,0.0,0.0,15.0,88.2,0.0
3,RIC,McLaren,14.0,17.0,Gearbox,0.0,2022,2,Saudi Arabian Grand Prix,Jeddah,12.0,89.773,14.0,18.0,0.0,12.0,0,0.0,14.0,20.0,1,0.0,0.0,6.0,13.0,88.2,1.5729999999999933
63,RUS,Mercedes,6.0,5.0,Finished,10.0,2022,2,Saudi Arabian Grand Prix,Jeddah,6.0,89.104,4.0,9.0,12.0,5.666666666666667,0,0.3333333333333333,4.0,20.0,0,0.0,0.0,28.0,3.0,88.2,0.9039999999999964
55,SAI,Ferrari,3.0,3.0,Finished,15.0,2022,2,Saudi Arabian Grand Prix,Jeddah,3.0,88.402,2.0,3.0,18.0,1.6666666666666667,1,1.0,2.0,20.0,0,0.0,1.0,63.0,1.0,88.2,0.20199999999999818
18,STR,Aston Martin,13.0,13.0,+1 Lap,0.0,2022,2,Saudi Arabian Grand Prix,Jeddah,15.0,91.009,12.0,19.0,0.0,13.666666666666666,0,0.0,12.0,20.0,0,0.0,0.0,0.0,15.0,88.2,2.8089999999999975
22,TSU,AlphaTauri,19.0,19.0,Power Unit,0.0,2022,2,Saudi Arabian Grand Prix,Jeddah,20.0,,8.0,16.0,4.0,12.0,0,0.0,8.0,20.0,1,0.0,0.0,8.0,10.0,88.2,
1,VER,Red Bull Racing,4.0,1.0,Finished,25.0,2022,2,Saudi Arabian Grand Prix,Jeddah,4.0,88.461,19.0,2.0,0.0,13.666666666666666,1,0.0,19.0,20.0,0,1.0,0.0,12.0,5.0,88.2,0.2609999999999957
24,ZHO,Alfa Romeo,12.0,11.0,Finished,0.0,2022,2,Saudi Arabian Grand Prix,Jeddah,13.0,89.819,10.0,15.0,1.0,10.333333333333334,0,0.0,10.0,20.0,0,0.0,0.0,9.0,8.0,88.2,1.6189999999999998
23,ALB,Williams,20.0,10.0,Finished,1.0,2022,3,Australian Grand Prix,Melbourne,16.0,80.135,13.5,15.5,0.0,16.0,0,0.0,13.5,20.0,0,0.5,0.0,0.0,18.0,77.868,2.26700000000001
14,ALO,Alpine,10.0,17.0,+1 Lap,0.0,2022,3,Australian Grand Prix,Melbourne,10.0,78.815,12.5,7.5,2.0,9.666666666666666,0,0.0,12.5,20.0,0,0.5,0.0,16.0,7.0,77.868,0.9470000000000027
77,BOT,Alfa Romeo,12.0,8.0,Finished,4.0,2022,3,Australian Grand Prix,Melbourne,12.0,79.41,10.5,7.0,8.0,12.0,0,0.0,10.5,20.0,0,0.5,0.0,9.0,14.0,77.868,1.5420000000000016
10,GAS,AlphaTauri,11.0,9.0,Finished,2.0,2022,3,Australian Grand Prix,Melbourne,11.0,79.226,14.0,9.5,4.0,11.666666666666666,0,0.0,14.0,20.0,0,0.5,0.0,8.0,15.0,77.868,1.358000000000004
44,HAM,Mercedes,5.0,4.0,Finished,12.0,2022,3,Australian Grand Prix,Melbourne,5.0,78.825,6.5,10.5,16.0,6.333333333333333,0,0.25,6.5,20.0,0,0.0,0.5,38.0,5.0,77.868,0.9570000000000078
6,LAT,Williams,18.0,16.0,+1 Lap,0.0,2022,3,Australian Grand Prix,Melbourne,19.0,81.372,17.0,19.5,0.0,14.0,0,0.0,17.0,20.0,0,0.5,0.0,1.0,17.0,77.868,3.504000000000005
16,LEC,Ferrari,1.0,1.0,Finished,26.0,2022,3,Australian Grand Prix,Melbourne,1.0,77.868,1.5,1.5,45.0,2.3333333333333335,1,1.0,1.5,20.0,0,0.0,1.0,78.0,2.0,77.868,0.0
20,MAG,Haas F1 Team,16.0,14.0,+1 Lap,0.0,2022,3,Australian Grand Prix,Melbourne,17.0,80.254,7.0,8.5,12.0,10.0,0,0.0,7.0,20.0,0,0.0,0.0,12.0,11.0,77.868,2.38600000000001
47,MSC,Haas F1 Team,15.0,13.0,+1 Lap,0.0,2022,3,Australian Grand Prix,Melbourne,15.0,80.465,11.0,13.0,0.0,11.5,0,0.0,11.0,20.0,0,0.5,0.0,12.0,11.0,77.868,2.5970000000000084
4,NOR,McLaren,4.0,5.0,Finished,10.0,2022,3,Australian Grand Prix,Melbourne,4.0,78.703,11.0,12.0,6.0,12.666666666666666,0,0.0,11.0,20.0,0,0.0,0.0,6.0,16.0,77.868,0.835000000000008
31,OCO,Alpine,8.0,7.0,Finished,6.0,2022,3,Australian Grand Prix,Melbourne,8.0,79.061,6.5,8.0,14.0,13.0,0,0.0,6.5,20.0,0,0.0,0.0,16.0,7.0,77.868,1.193000000000012
11,PER,Red Bull Racing,3.0,2.0,Finished,18.0,2022,3,Australian Grand Prix,Melbourne,3.0,78.24,11.0,2.5,12.0,8.0,1,0.25,11.0,20.0,0,0.5,0.0,37.0,6.0,77.868,0.3719999999999999
3,RIC,McLaren,7.0,6.0,Finished,8.0,2022,3,Australian Grand Prix,Melbourne,7.0,79.032,15.5,15.0,0.0,9.666666666666666,0,0.0,15.5,20.0,0,0.5,0.0,16.0,7.0,77.868,1.1640000000000015
63,RUS,Mercedes,6.0,3.0,Finished,15.0,2022,3,Australian Grand Prix,Melbourne,6.0,78.933,4.5,7.5,22.0,6.333333333333333,1,0.2,4.5,20.0,0,0.0,0.0,50.0,4.0,77.868,1.065000000000012
55,SAI,Ferrari,9.0,20.0,Spun off,0.0,2022,3,Australian Grand Prix,Melbourne,9.0,79.408,2.5,3.0,33.0,2.0,0,1.0,2.5,20.0,1,0.0,1.0,104.0,1.0,77.868,1.5400000000000063
18,STR,Aston Martin,19.0,12.0,Finished,0.0,2022,3,Australian Grand Prix,Melbourne,20.0,,12.5,17.0,0.0,12.333333333333334,0,0.0,12.5,20.0,0,0.0,0.0,0.0,18.0,77.868,
22,TSU,AlphaTauri,13.0,15.0,+1 Lap,0.0,2022,3,Australian Grand Prix,Melbourne,13.0,79.424,13.5,18.0,4.0,12.0,0,0.0,13.5,20.0,0,0.5,0.0,10.0,13.0,77.868,1.5560000000000116
1,VER,Red Bull Racing,2.0,18.0,Fuel leak,0.0,2022,3,Australian Grand Prix,Melbourne,2.0,78.154,10.0,3.0,25.0,2.3333333333333335,0,0.4,10.0,20.0,1,0.5,0.5,55.0,3.0,77.868,0.28600000000000136
5,VET,Aston Martin,17.0,19.0,Accident,0.0,2022,3,Australian Grand Prix,Melbourne,18.0,81.149,11.0,11.0,0.0,12.333333333333334,0,0.0,,20.0,1,0.0,0.0,0.0,18.0,77.868,3.281000000000006
24,ZHO,Alfa Romeo,14.0,11.0,Finished,0.0,2022,3,Australian Grand Prix,Melbourne,14.0,80.155,10.5,14.0,1.0,11.333333333333334,0,0.0,10.5,20.0,0,0.0,0.0,13.0,10.0,77.868,2.287000000000006
23,ALB,Williams,18.0,11.0,+1 Lap,0.0,2022,4,Emilia Romagna Grand Prix,Imola,20.0,,12.333333333333334,15.666666666666666,1.0,14.666666666666666,0,0.0,12.333333333333334,20.0,0,0.3333333333333333,0.0,1.0,17.0,78.99,
14,ALO,Alpine,9.0,19.0,Collision damage,0.0,2022,4,Emilia Romagna Grand Prix,Imola,5.0,89.202,14.0,8.333333333333334,2.0,10.0,0,0.0,14.0,20.0,1,0.3333333333333333,0.0,22.0,10.0,78.99,10.212000000000003
77,BOT,Alfa Romeo,7.0,5.0,Finished,10.0,2022,4,Emilia Romagna Grand Prix,Imola,8.0,90.439,9.666666666666666,8.666666666666666,12.0,10.0,0,0.0,9.666666666666666,20.0,0,0.3333333333333333,0.0,13.0,13.0,78.99,11.448999999999998
10,GAS,AlphaTauri,17.0,12.0,+1 Lap,0.0,2022,4,Emilia Romagna Grand Prix,Imola,17.0,80.732,12.333333333333334,10.0,6.0,14.333333333333334,0,0.0,12.333333333333334,20.0,0,0.3333333333333333,0.0,10.0,15.0,78.99,1.7420000000000044
44,HAM,Mercedes,14.0,13.0,+1 Lap,0.0,2022,4,Emilia Romagna Grand Prix,Imola,13.0,81.138,5.666666666666667,8.666666666666666,28.0,4.0,0,0.3333333333333333,5.666666666666667,20.0,0,0.0,0.3333333333333333,65.0,4.0,78.99,2.1480000000000103
6,LAT,Williams,19.0,16.0,+1 Lap,0.0,2022,4,Emilia Romagna Grand Prix,Imola,18.0,81.971,16.666666666666668,19.333333333333332,0.0,12.333333333333334,0,0.0,16.666666666666668,20.0,0,0.3333333333333333,0.0,1.0,17.0,78.99,2.9810000000000088
16,LEC,Ferrari,2.0,6.0,Finished,8.0,2022,4,Emilia Romagna Grand Prix,Imola,2.0,88.778,1.3333333333333333,1.3333333333333333,71.0,8.0,0,0.8333333333333334,1.3333333333333333,20.0,0,0.0,1.0,104.0,2.0,78.99,9.788000000000011
20,MAG,Haas F1 Team,8.0,9.0,Finished,2.0,2022,4,Emilia Romagna Grand Prix,Imola,4.0,89.164,9.333333333333334,11.333333333333334,12.0,13.5,0,0.0,9.333333333333334,20.0,0,0.0,0.0,12.0,14.0,78.99,10.174000000000007
47,MSC,Haas F1 Team,10.0,17.0,+1 Lap,0.0,2022,4,Emilia Romagna Grand Prix,Imola,12.0,80.916,12.0,13.666666666666666,0.0,12.0,0,0.0,12.0,20.0,0,0.3333333333333333,0.0,14.0,12.0,78.99,1.926000000000002
4,NOR,McLaren,5.0,3.0,Finished,15.0,2022,4,Emilia Romagna Grand Prix,Imola,3.0,89.131,9.0,9.333333333333334,16.0,9.333333333333334,1,0.0,9.0,20.0,0,0.0,0.0,24.0,8.0,78.99,10.141000000000005
31,OCO,Alpine,16.0,14.0,+1 Lap,0.0,2022,4,Emilia Romagna Grand Prix,Imola,19.0,82.338,6.666666666666667,8.0,20.0,14.333333333333334,0,0.0,6.666666666666667,20.0,0,0.0,0.0,22.0,10.0,78.99,3.347999999999999
11,PER,Red Bull Racing,3.0,2.0,Finished,18.0,2022,4,Emilia Romagna Grand Prix,Imola,7.0,89.808,8.0,2.6666666666666665,30.0,7.0,1,0.3333333333333333,8.0,20.0,0,0.3333333333333333,0.3333333333333333,55.0,6.0,78.99,10.818000000000012
3,RIC,McLaren,6.0,18.0,+1 Lap,0.0,2022,4,Emilia Romagna Grand Prix,Imola,6.0,89.742,12.333333333333334,12.333333333333334,8.0,4.666666666666667,0,0.14285714285714285,12.333333333333334,20.0,0,0.3333333333333333,0.0,39.0,7.0,78.99,10.75200000000001
63,RUS,Mercedes,11.0,4.0,Finished,12.0,2022,4,Emilia Romagna Grand Prix,Imola,11.0,80.757,4.0,7.0,37.0,6.666666666666667,0,0.2857142857142857,4.0,20.0,0,0.0,0.3333333333333333,65.0,4.0,78.99,1.7670000000000101
55,SAI,Ferrari,4.0,20.0,Collision,0.0,2022,4,Emilia Romagna Grand Prix,Imola,10.0,78.99,8.333333333333334,5.0,33.0,9.0,0,0.7142857142857143,8.333333333333334,20.0,1,0.3333333333333333,0.6666666666666666,112.0,1.0,78.99,0.0
18,STR,Aston Martin,15.0,10.0,+1 Lap,1.0,2022,4,Emilia Romagna Grand Prix,Imola,15.0,88.119,12.333333333333334,18.0,0.0,14.666666666666666,0,0.0,12.333333333333334,20.0,0,0.0,0.0,0.0,20.0,78.99,9.129000000000005
22,TSU,AlphaTauri,12.0,7.0,Finished,6.0,2022,4,Emilia Romagna Grand Prix,Imola,16.0,80.474,14.0,16.333333333333332,4.0,12.0,0,0.0,14.0,20.0,0,0.3333333333333333,0.0,10.0,15.0,78.99,1.4840000000000089
1,VER,Red Bull Racing,1.0,1.0,Finished,26.0,2022,4,Emilia Romagna Grand Prix,Imola,1.0,87.999,12.666666666666666,2.6666666666666665,25.0,7.333333333333333,1,0.42857142857142855,12.666666666666666,20.0,0,0.6666666666666666,0.3333333333333333,73.0,3.0,78.99,9.009
5,VET,Aston Martin,13.0,8.0,Finished,4.0,2022,4,Emilia Romagna Grand Prix,Imola,9.0,91.062,19.0,18.0,0.0,13.666666666666666,0,0.0,19.0,20.0,0,1.0,0.0,1.0,17.0,78.99,12.072000000000003
24,ZHO,Alfa Romeo,0.0,15.0,+1 Lap,0.0,2022,4,Emilia Romagna Grand Prix,Imola,14.0,81.434,10.666666666666666,14.0,1.0,8.0,0,0.0,10.666666666666666,20.0,0,0.0,0.0,23.0,9.0,78.99,2.4440000000000026
23,ALB,Williams,18.0,9.0,Finished,2.0,2022,5,Miami Grand Prix,Miami,18.0,91.266,12.0,16.75,1.0,14.333333333333334,0,0.0,12.0,20.0,0,0.25,0.0,1.0,20.0,88.796,2.469999999999999
14,ALO,Alpine,11.0,11.0,Finished,0.0,2022,5,Miami Grand Prix,Miami,11.0,90.16,15.25,7.5,0.0,13.333333333333334,0,0.0,15.25,20.0,0,0.5,0.0,22.0,11.0,88.796,1.36399999999999
77,BOT,Alfa Romeo,5.0,7.0,Finished,6.0,2022,5,Miami Grand Prix,Miami,5.0,89.475,8.5,8.5,14.0,10.333333333333334,0,0.0,8.5,20.0,0,0.25,0.0,23.0,10.0,88.796,0.6789999999999878
10,GAS,AlphaTauri,7.0,18.0,Suspension,0.0,2022,5,Miami Grand Prix,Miami,7.0,89.69,12.25,11.75,6.0,11.333333333333334,0,0.0,12.25,20.0,1,0.25,0.0,16.0,13.0,88.796,0.8939999999999912
44,HAM,Mercedes,6.0,6.0,Finished,8.0,2022,5,Miami Grand Prix,Miami,6.0,89.625,7.5,9.75,13.0,6.666666666666667,0,0.25,7.5,20.0,0,0.0,0.25,77.0,6.0,88.796,0.8289999999999935
6,LAT,Williams,19.0,14.0,Finished,0.0,2022,5,Miami Grand Prix,Miami,19.0,91.325,16.5,19.0,0.0,12.0,0,0.0,16.5,20.0,0,0.25,0.0,3.0,19.0,88.796,2.5289999999999964
16,LEC,Ferrari,1.0,2.0,Finished,18.0,2022,5,Miami Grand Prix,Miami,1.0,88.796,2.5,1.5,53.0,15.333333333333334,1,0.625,2.5,20.0,0,0.0,0.75,112.0,2.0,88.796,0.0
20,MAG,Haas F1 Team,16.0,16.0,Front wing,0.0,2022,5,Miami Grand Prix,Miami,16.0,90.975,9.25,9.5,4.0,13.0,0,0.0,9.25,20.0,1,0.0,0.0,14.0,15.0,88.796,2.178999999999988
47,MSC,Haas F1 Team,15.0,15.0,Finished,0.0,2022,5,Miami Grand Prix,Miami,15.0,90.423,13.666666666666666,13.25,0.0,14.0,0,0.0,13.666666666666666,20.0,0,0.25,0.0,14.0,15.0,88.796,1.6269999999999953
4,NOR,McLaren,8.0,19.0,Collision,0.0,2022,5,Miami Grand Prix,Miami,8.0,89.75,7.5,7.75,31.0,9.0,0,0.125,7.5,20.0,1,0.0,0.25,39.0,7.0,88.796,0.9539999999999935
31,OCO,Alpine,20.0,8.0,Finished,4.0,2022,5,Miami Grand Prix,Miami,20.0,,8.5,10.75,14.0,14.666666666666666,0,0.0,8.5,20.0,0,0.0,0.0,22.0,11.0,88.796,
11,PER,Red Bull Racing,4.0,4.0,Finished,12.0,2022,5,Miami Grand Prix,Miami,4.0,89.036,6.5,3.75,48.0,7.0,0,0.5,6.5,20.0,0,0.25,0.5,99.0,4.0,88.796,0.23999999999999488
3,RIC,McLaren,14.0,13.0,Finished,0.0,2022,5,Miami Grand Prix,Miami,14.0,90.31,13.75,10.75,8.0,13.333333333333334,0,0.1111111111111111,13.75,20.0,0,0.25,0.0,39.0,7.0,88.796,1.5139999999999958
63,RUS,Mercedes,12.0,5.0,Finished,10.0,2022,5,Miami Grand Prix,Miami,12.0,90.173,4.0,8.0,37.0,7.666666666666667,0,0.2222222222222222,4.0,20.0,0,0.0,0.25,85.0,5.0,88.796,1.3769999999999953
55,SAI,Ferrari,2.0,3.0,Finished,15.0,2022,5,Miami Grand Prix,Miami,2.0,88.986,11.25,6.25,15.0,9.333333333333334,1,0.6666666666666666,11.25,20.0,0,0.5,0.5,130.0,1.0,88.796,0.18999999999999773
18,STR,Aston Martin,0.0,10.0,Finished,1.0,2022,5,Miami Grand Prix,Miami,10.0,90.676,11.75,17.25,1.0,12.333333333333334,0,0.0,11.75,20.0,0,0.0,0.0,5.0,18.0,88.796,1.8799999999999955
22,TSU,AlphaTauri,9.0,12.0,Finished,0.0,2022,5,Miami Grand Prix,Miami,9.0,89.932,12.25,16.25,6.0,12.333333333333334,0,0.0,12.25,20.0,0,0.25,0.0,16.0,13.0,88.796,1.1359999999999957
1,VER,Red Bull Racing,3.0,1.0,Finished,26.0,2022,5,Miami Grand Prix,Miami,3.0,88.991,9.75,2.25,51.0,2.3333333333333335,1,0.4444444444444444,9.75,20.0,0,0.5,0.5,111.0,3.0,88.796,0.19499999999999318
5,VET,Aston Martin,0.0,17.0,Collision,0.0,2022,5,Miami Grand Prix,Miami,13.0,90.214,13.5,13.5,4.0,9.333333333333334,0,0.0,13.5,20.0,1,0.5,0.0,6.0,17.0,88.796,1.4179999999999922
24,ZHO,Alfa Romeo,17.0,20.0,Water leak,0.0,2022,5,Miami Grand Prix,Miami,17.0,91.02,11.75,14.0,0.0,9.0,0,0.0,11.75,20.0,1,0.0,0.0,29.0,9.0,88.796,2.2239999999999895
23,ALB,Williams,18.0,18.0,+2 Laps,0.0,2022,6,Spanish Grand Prix,Barcelona,19.0,81.645,11.4,17.0,3.0,13.0,0,0.0,11.4,20.0,0,0.2,0.0,3.0,19.0,78.75,2.894999999999996
14,ALO,Alpine,20.0,9.0,+1 Lap,2.0,2022,6,Spanish Grand Prix,Barcelona,17.0,81.043,14.4,8.2,0.0,11.0,0,0.0,14.4,20.0,0,0.4,0.0,26.0,12.0,78.75,2.2930000000000064
77,BOT,Alfa Romeo,7.0,6.0,Finished,8.0,2022,6,Spanish Grand Prix,Barcelona,7.0,79.608,8.2,7.8,20.0,14.0,0,0.0,8.2,20.0,0,0.2,0.0,29.0,10.0,78.75,0.8580000000000041
10,GAS,AlphaTauri,14.0,13.0,+1 Lap,0.0,2022,6,Spanish Grand Prix,Barcelona,14.0,80.861,13.4,10.8,2.0,12.333333333333334,0,0.0,13.4,20.0,0,0.4,0.0,16.0,13.0,78.75,2.111000000000004
44,HAM,Mercedes,6.0,5.0,Finished,10.0,2022,6,Spanish Grand Prix,Barcelona,6.0,79.512,7.2,9.0,20.0,5.0,0,0.2,7.2,20.0,0,0.0,0.2,95.0,6.0,78.75,0.7620000000000005
6,LAT,Williams,19.0,16.0,+2 Laps,0.0,2022,6,Spanish Grand Prix,Barcelona,20.0,81.915,16.0,19.0,0.0,13.666666666666666,0,0.0,16.0,20.0,0,0.2,0.0,3.0,19.0,78.75,3.1650000000000063
16,LEC,Ferrari,1.0,20.0,Turbo,0.0,2022,6,Spanish Grand Prix,Barcelona,1.0,78.75,2.4,1.4,52.0,8.333333333333334,0,0.7,2.4,20.0,1,0.0,0.8,145.0,2.0,78.75,0.0
20,MAG,Haas F1 Team,8.0,17.0,+2 Laps,0.0,2022,6,Spanish Grand Prix,Barcelona,8.0,79.682,10.6,10.8,2.0,16.0,0,0.0,10.6,20.0,0,0.2,0.0,14.0,15.0,78.75,0.9320000000000022
47,MSC,Haas F1 Team,10.0,14.0,+1 Lap,0.0,2022,6,Spanish Grand Prix,Barcelona,10.0,80.368,14.0,13.6,0.0,16.0,0,0.0,14.0,20.0,0,0.2,0.0,14.0,15.0,78.75,1.617999999999995
